English Name,Nepali Name,Unit,Minimum Price (Rs.),Maximum Price (Rs.),Average Price (Rs.)
Apple(Fuji),स्याउ(फूजी),Kg,280,300,290.0
Arum,पिंडालू,Kg,40,50,45.0
Asparagus,कुरीलो,Kg,500,600,550.0
Bamboo Shoot,तामा,Kg,80,90,85.0
Banana,केरा,Doz,90,100,95.0
Barela,बरेला,Kg,50,60,55.0
Bitter Gourd,तितो करेला,Kg,50,60,55.0
Bottle Gourd,लौका,Kg,30,40,35.0
Brd Leaf Mustard,रायो साग,Kg,80,90,85.0
Brinjal Long,भन्टा लाम्चो,Kg,40,50,45.0
Brinjal Round,भन्टा डल्लो,Kg,50,60,55.0
Brocauli,ब्रोकाउली,Kg,120,150,135.0
Cabbage(Local),बन्दा(लोकल),Kg,20,30,25.0
Capsicum,भेडे खु्र्सानी,Kg,180,200,190.0
Carrot(Local),गाजर(लोकल),Kg,100,120,110.0
Carrot(Terai),गाजर(तराई),Kg,70,80,75.0
Cauli Local,काउली स्थानिय,Kg,60,70,65.0
Celery,सेलरी,Kg,400,500,450.0
Chilli Dry,खु्र्सानी सुकेको,Kg,300,320,310.0
Chilli Green,खु्र्सानी हरियो,Kg,70,80,75.0
Chilli Green(Akbare),खुर्सानी हरियो(अकबरे),Kg,200,220,210.0
Chilli Green(Bullet),खुर्सानी हरियो(बुलेट),Kg,120,130,125.0
Chilli Green(Machhe),खुर्सानी हरियो(माछे),Kg,70,80,75.0
Christophine,स्कूस,Kg,15,20,17.5
Clive Dry,छ्यापी सुकेको,Kg,280,300,290.0
Clive Green,छ्यापी हरियो,Kg,180,200,190.0
Coriander Green,हरियो धनिया,Kg,150,200,175.0
Cow pea(Long),बोडी(तने),Kg,80,90,85.0
Cowpea(Short),मकै बोडी,Kg,40,50,45.0
Cress Leaf,चमसूरको साग,Kg,120,150,135.0
Cucumber(Hybrid),काक्रो(हाइब्रीड),Kg,40,50,45.0
Cucumber(Local),काक्रो(लोकल),Kg,70,80,75.0
Drumstick,सजिवन,Kg,180,200,190.0
Fennel Leaf,सौफको साग,Kg,220,250,235.0
Fenugreek Leaf,मेथीको साग,Kg,180,200,190.0
Fish Fresh(Bachuwa),ताजा माछा(बचुवा),Kg,225,235,230.0
Fish Fresh(Chhadi),ताजा माछा(छडी),Kg,220,230,225.0
Fish Fresh(Mungari),ताजा माछा(मुंगरी),Kg,230,240,235.0
Fish Fresh(Rahu),ताजा माछा(रहु),Kg,270,280,275.0
French Bean(Hybrid),घिउ सिमी(हाइब्रीड),Kg,50,60,55.0
