English Name,Nepali Name,Unit,Minimum Price (Rs.),Maximum Price (Rs.),Average Price (Rs.)
Amla,अमला,Kg,80,90,85.0
Apple(Fuji),स्याउ(फूजी),Kg,250,280,265.0
Arum,पिंडालू,Kg,40,50,45.0
Avocado,आभोकाडो,Kg,350,400,375.0
Bakula,बकूला,Kg,80,90,85.0
Bamboo Shoot,तामा,Kg,90,100,95.0
Banana,केरा,Doz,90,100,95.0
Barela,बरेला,Kg,60,70,65.0
Bitter Gourd,तितो करेला,Kg,200,220,210.0
Bottle Gourd,लौका,Kg,60,70,65.0
Brd Leaf Mustard,रायो साग,Kg,20,25,22.5
Brinjal Long,भन्टा लाम्चो,Kg,50,60,55.0
Brinjal Round,भन्टा डल्लो,Kg,50,60,55.0
Brocauli,ब्रोकाउली,Kg,50,60,55.0
Cabbage,बन्दा(नरिवल),Kg,12,20,16.0
Cabbage(Local),बन्दा(लोकल),Kg,12,20,16.0
Capsicum,भेडे खु्र्सानी,Kg,90,100,95.0
Carrot(Local),गाजर(लोकल),Kg,40,50,45.0
Carrot(Terai),गाजर(तराई),Kg,30,40,35.0
Cauli Local,काउली स्थानिय,Kg,40,50,45.0
Cauli Local(Jyapu),स्थानीय काउली(ज्यापु),Kg,50,60,55.0
Celery,सेलरी,Kg,250,300,275.0
Chilli Dry,खु्र्सानी सुकेको,Kg,300,320,310.0
Chilli Green,खु्र्सानी हरियो,Kg,60,70,65.0
Chilli Green(Akbare),खुर्सानी हरियो(अकबरे),Kg,280,300,290.0
Chilli Green(Bullet),खुर्सानी हरियो(बुलेट),Kg,60,70,65.0
Chilli Green(Machhe),खुर्सानी हरियो(माछे),Kg,70,80,75.0
Christophine,स्कूस,Kg,30,40,35.0
Clive Dry,छ्यापी सुकेको,Kg,280,300,290.0
Clive Green,छ्यापी हरियो,Kg,100,120,110.0
Coriander Green,हरियो धनिया,Kg,30,50,40.0
Cress Leaf,चमसूरको साग,Kg,60,70,65.0
Cucumber(Hybrid),काक्रो(हाइब्रीड),Kg,35,45,40.0
Cucumber(Local),काक्रो(लोकल),Kg,90,100,95.0
Drumstick,सजिवन,Kg,200,250,225.0
Fennel Leaf,सौफको साग,Kg,60,70,65.0
Fenugreek Leaf,मेथीको साग,Kg,60,70,65.0
Fish Fresh(Bachuwa),ताजा माछा(बचुवा),Kg,235,250,242.5
Fish Fresh(Chhadi),ताजा माछा(छडी),Kg,230,250,240.0
Fish Fresh(Mungari),ताजा माछा(मुंगरी),Kg,240,260,250.0
Fish Fresh(Rahu),ताजा माछा(रहु),Kg,285,300,292.5
French Bean(Hybrid),घिउ सिमी(हाइब्रीड),Kg,70,80,75.0
French Bean(Local),घिउ सिमी(लोकल),Kg,70,80,75.0
French Bean(Rajma),घिउ सिमी(राजमा),Kg,80,100,90.0
Garlic Dry Chinese,लसुन सुकेको चाइनिज,Kg,250,260,255.0
