English Name,Nepali Name,Unit,Minimum Price (Rs.),Maximum Price (Rs.),Average Price (Rs.)
Apple(Fuji),स्याउ(फूजी),Kg,300,350,325.0
Apple(Jholey),स्याउ(झोले),Kg,150,160,155.0
Arum,पिंडालू,Kg,40,50,45.0
Asparagus,कुरीलो,Kg,500,600,550.0
Bamboo Shoot,तामा,Kg,80,90,85.0
Banana,केरा,Doz,90,100,95.0
Barela,बरेला,Kg,70,80,75.0
Bitter Gourd,तितो करेला,Kg,60,70,65.0
Bottle Gourd,लौका,Kg,30,40,35.0
Brd Leaf Mustard,रायो साग,Kg,70,80,75.0
Brinjal Long,भन्टा लाम्चो,Kg,30,40,35.0
Brinjal Round,भन्टा डल्लो,Kg,50,60,55.0
Brocauli,ब्रोकाउली,Kg,180,200,190.0
Cabbage(Local),बन्दा(लोकल),Kg,15,20,17.5
Capsicum,भेडे खु्र्सानी,Kg,110,120,115.0
Carrot(Local),गाजर(लोकल),Kg,130,140,135.0
Carrot(Terai),गाजर(तराई),Kg,80,90,85.0
Cauli Local,काउली स्थानिय,Kg,70,90,80.0
Celery,सेलरी,Kg,400,500,450.0
Chilli Dry,खु्र्सानी सुकेको,Kg,300,320,310.0
Chilli Green,खु्र्सानी हरियो,Kg,50,60,55.0
Chilli Green(Akbare),खुर्सानी हरियो(अकबरे),Kg,150,200,175.0
Chilli Green(Bullet),खुर्सानी हरियो(बुलेट),Kg,90,100,95.0
Chilli Green(Machhe),खुर्सानी हरियो(माछे),Kg,60,70,65.0
Christophine,स्कूस,Kg,15,20,17.5
Clive Dry,छ्यापी सुकेको,Kg,280,300,290.0
Clive Green,छ्यापी हरियो,Kg,150,180,165.0
Coriander Green,हरियो धनिया,Kg,200,250,225.0
Cow pea(Long),बोडी(तने),Kg,110,130,120.0
Cowpea(Short),मकै बोडी,Kg,60,70,65.0
Cress Leaf,चमसूरको साग,Kg,90,100,95.0
Cucumber(Hybrid),काक्रो(हाइब्रीड),Kg,30,40,35.0
Cucumber(Local),काक्रो(लोकल),Kg,70,80,75.0
Drumstick,सजिवन,Kg,180,200,190.0
Fennel Leaf,सौफको साग,Kg,180,200,190.0
Fenugreek Leaf,मेथीको साग,Kg,180,200,190.0
Fish Fresh(Bachuwa),ताजा माछा(बचुवा),Kg,225,235,230.0
Fish Fresh(Chhadi),ताजा माछा(छडी),Kg,220,230,225.0
Fish Fresh(Mungari),ताजा माछा(मुंगरी),Kg,230,240,235.0
Fish Fresh(Rahu),ताजा माछा(रहु),Kg,275,290,282.5
French Bean(Hybrid),घिउ सिमी(हाइब्रीड),Kg,70,80,75.0
French Bean(Local),घिउ सिमी(लोकल),Kg,70,80,75.0
French Bean(Rajma),घिउ सिमी(राजमा),Kg,140,150,145.0
Garlic Dry Chinese,लसुन सुकेको चाइनिज,Kg,240,250,245.0
Garlic Dry Nepali,लसुन सुकेको नेपाली,Kg,190,200,195.0
Garlic Green,लसुन हरियो,Kg,300,320,310.0
Ginger,अदुवा,Kg,40,50,45.0
Green Peas,मटरकोशा,Kg,180,200,190.0
Guava,अम्बा,Kg,100,120,110.0
Gundruk,गुन्दुक,Kg,200,250,225.0
Kiwi,किवि,Kg,300,350,325.0
Lemon,निबुवा,Kg,40,50,45.0
Lettuce,जिरीको साग,Kg,450,500,475.0
Lime,कागती,Kg,160,180,170.0
Mint,पुदीना,Kg,800,900,850.0
Mombin,लप्सी,Kg,60,70,65.0
Mushroom(Button),च्याउ(डल्ले),Kg,300,320,310.0
Mushroom(Kanya),च्याउ(कन्य),Kg,200,220,210.0
Mustard Leaf,तोरीको साग,Kg,30,40,35.0
Neuro,न्यूरो,Kg,90,100,95.0
Okara,भिण्डी,Kg,30,40,35.0
Onion Dry (Indian),प्याज सुकेको (भारतीय),Kg,78,80,79.0
Onion Green,प्याज हरियो,Kg,150,180,165.0
Orange(Indian),सुन्तला(भारतीय),Kg,120,130,125.0
Papaya(Indian),मेवा(भारतीय),Kg,100,120,110.0
Papaya(Nepali),मेवा(नेपाली),Kg,50,60,55.0
Pear(Chinese),नासपाती(चाइनिज),Kg,190,200,195.0
Pear(Local),नासपाती(लोकल),Kg,90,100,95.0
Pineapple,भुई कटहर,1 Pc,120,150,135.0
Pointed Gourd(Local),परवर(लोकल),Kg,60,70,65.0
Pointed Gourd(Terai),परवर(तराई),Kg,50,60,55.0
Pomegranate,अनार,Kg,300,350,325.0
Potato Red,आलु रातो,Kg,68,70,69.0
Potato Red(Indian),आलु रातो(भारतीय),Kg,26,28,27.0
Potato Red(Mude),आलु रातो(मुडे),Kg,45,48,46.5
Potato White,आलु सेतो,Kg,42,44,43.0
Pumpkin,फर्सी पाकेको,Kg,25,30,27.5
Raddish Red,मूला रातो,Kg,40,50,45.0
Raddish White(Hybrid),सेतो मूला(हाइब्रीड),Kg,30,40,35.0
Raddish White(Local),मूला सेतो(लोकल),Kg,25,30,27.5
Red Cabbbage,रातो बन्दा,Kg,200,250,225.0
Smooth Gourd,घिरौला,Kg,60,70,65.0
Snake Gourd,लौका,Kg,30,40,35.0
Soyabean Green,भटमासकोशा,Kg,50,70,60.0
Spinach Leaf,पालूगो साग,Kg,80,90,85.0
Sponge Gourd,झिगूनी,Kg,70,80,75.0
Squash(Round),हरियो फर्सी(डल्लो),Kg,20,30,25.0
Sugarbeet,चुकुन्दर,Kg,70,80,75.0
Sweet Orange,मौसम,Kg,120,130,125.0
Sweet Potato,सखरखण्ड,Kg,80,90,85.0
Sword Bean,टाटे सिमी,Kg,130,140,135.0
Tamarind,इमली,Kg,140,150,145.0
Tofu,तोफु,Kg,90,100,95.0
Tomato Big(Indian),ठूलो गोलभेडा(भारतीय),Kg,80,90,85.0
Tomato Big(Nepali),गोलभेडा ठूलो(नेपाली),Kg,80,90,85.0
Tomato Small(Indian),गोलभेडा सानो(भारतीय),Kg,55,65,60.0
Tomato Small(Local),गोलभेडा सानो(लोकल),Kg,55,65,60.0
Tomato Small(Tunnel),गोलभेडा सानो(टनेल),Kg,65,75,70.0
Turnip,सलगम,Kg,90,100,95.0
Turnip A,गान्टे मूला,Kg,80,90,85.0
Water Melon(Green),तरबुजा(हरियो),Kg,60,70,65.0
